"nutrient","nutrient_lab","country","site","year","hard_coral","macroalgae","turf_algae","bare_substrate","rubble","reef_type","reef_zone","depth","management_rules","grav_nc","sediment","nutrient_load","pop_count","herbivore-detritivore","herbivore-macroalgae","invertivore-mobile","omnivore","piscivore","planktivore"
"selenium.mug","Selenium","Fiji","Yac06",2017,34.67,6.67,4,19.33,0,"fringing","fore reef",9.67,"restriction",-3.44249279809434,0.415618797622258,0,2.23390429849117,0.294646804310568,0.0802967637396067,0.311739007033228,0.237888365280658,0.0331826021556433,0.0422464574802968
"selenium.mug","Selenium","Fiji","Yac07",2017,34.33,22,12,5.33,0,"fringing","fore reef",9.53,"restriction",-3.44249279809434,0.415618797622258,0,2.23390427821574,0.51938072166056,0.0297214219225258,0.110896877625853,0.183281207665611,0.0545373600541346,0.102182411071315
"selenium.mug","Selenium","Fiji","Yac08",2017,20,15.67,2.67,19.67,1,"fringing","fore reef",9.8,"restriction",-3.44249279809434,0.415618797622258,0,2.23390425794032,0.354039754325359,0.0173485479023338,0.385999844305415,0.0765342590073151,0.123832668764928,0.0422449256946495
"selenium.mug","Selenium","Fiji","Yac09",2017,30,11,7.33,8,0.67,"fringing","fore reef",11.13,"restriction",-3.44249279809434,0.397101184481657,0,2.21686170741671,0.443397313092951,0.0167882034300597,0.105499786203672,0.16498555079856,0.211118387869747,0.0582107586050098
"selenium.mug","Selenium","Fiji","Yac13",2017,20.33,8,10.67,28.33,0,"fringing","fore reef",10.5,"restriction",-3.44249279809434,0.415618797622258,0,2.23390427568132,0.129812108188053,0.158369833808431,0.361820322214725,0.0682439641714979,0.165840483584212,0.115913288033081
"selenium.mug","Selenium","Fiji","Yac15",2017,26,19.33,23,1,0,"fringing","fore reef",9.5,"restriction",-3.44249279809434,0.415618797622258,0,2.23390428075017,0.305928275940428,0.0216963089086592,0.242300461249502,0.198934518203203,0.109830379874786,0.121310055823422
"selenium.mug","Selenium","Fiji","Yac16",2017,31.33,9.67,27.33,0.67,1,"fringing","fore reef",8.9,"restriction",-3.44249279809434,0.423210801192671,0,2.23390427568132,0.451530905737208,0.00859801279760363,0.317131853094978,0.123739248272289,0.0816824492525637,0.0173175308453578
"selenium.mug","Selenium","Fiji","Yac19",2017,17.33,6,12.67,22,0.67,"fringing","fore reef",8.83,"restriction",-3.44249279809434,0.329036461101657,0,2.21686168896568,0.231182427441146,0.00820689607279834,0.0314834064940331,0.237252713691943,0.486637728490118,0.00523682780996098
"selenium.mug","Selenium","Fiji","Yac20",2017,33,0.67,6.33,4.33,21,"fringing","fore reef",10,"restriction",-3.44249279809434,0.423210801192671,0,2.23390429088789,0.228053096902628,0.0379075817832295,0.223793916518727,0.284773663160797,0.0504601041445946,0.175011637490024
"selenium.mug","Selenium","Fiji","Yac21",2017,26,2.67,3.33,40.33,1,"fringing","fore reef",9.9,"restriction",-3.44249279809434,0.423210801192671,0,2.23390427314689,0.110750269746801,0.00388739445534175,0.324275829576852,0.197917485482415,0.22020108896666,0.14296793177193
"selenium.mug","Selenium","Madagascar","Ambato_04",2015,32.5,19.5,12,0,0,"fringing","fore reef",10,"no-take",0.3245112743743,2.91390714364728,0.00170213447254418,3.62699041209403,0.64875081651218,0.0248515654508683,0.0672936861072258,0.0491160384364027,0.0343499834498577,0.175637910043465
"selenium.mug","Selenium","Madagascar","Ambato_05",2015,53.5,2,3.5,0,0,"fringing","fore reef",11,"restriction",0.3245112743743,2.91390714205874,0.00170213447254418,3.62699041086383,0.241050927412625,0.0871701819049833,0.305647559760174,0.0636184933266936,0.0536589012134758,0.248853936382047
"selenium.mug","Selenium","Madagascar","Ambatomilay_18",2016,28.5,35,20.3333333333333,0.666666666666667,1.33333333333334,"patch","fore reef",5.3,"no-take",-0.37940697862092,1.57317595454219,0.00483577248362384,1.40580527772578,0.0203187326495988,0.00732848803951274,0.474084356433301,0.0120386729237857,0.0287335688617473,0.457496181092054
"selenium.mug","Selenium","Madagascar","Ambatomilay_18",2020,23.5,0,46,1,4,"patch","fore reef",5.9,"no-take",-0.37940697862092,1.57317595454219,0.00483577248362384,1.40580527772578,0.00923610512666951,0.0419475574003039,0.291096814419091,0.0131266293756494,0.0372952469433614,0.607297646734924
"selenium.mug","Selenium","Madagascar","Andravona_08",2016,23.5,7,5,0,0,"barrier","fore reef",10,"restriction",0.4095410674711,0.437761182300146,0.0102609362420578,2.35710782241827,0.0632038521930514,0.398829038232147,0.0991531604357844,0.0399954479359697,0.0958663805050033,0.302952120698045
"selenium.mug","Selenium","Madagascar","Andravona_12",2016,34,3,2.5,0,0,"barrier","fore reef",10,"restriction",0.306195487841947,0.450920667239613,0.0121793819720125,2.42828416888001,0.0782662426407541,0.0370087747119243,0.115776751992082,0.0219866179427928,0.197228416539975,0.549733196172472
"selenium.mug","Selenium","Madagascar","Anka_01",2016,23,6.5,1.5,0,0,"barrier","fore reef",9,"restriction",0.668429250779931,0.8766211659568,0.00635050026994822,3.35926704420885,0.12788964708658,0.0192936108501334,0.117001814725695,0.310544201823649,0.0481059650521162,0.377164760461827
"selenium.mug","Selenium","Madagascar","Ankaso_15",2016,31.6666666666667,0.5,17.1666666666667,6.66666666666667,1.66666666666666,"fringing","fore reef",6.43333333333334,"no-take",-0.22010206007448,1.41948706863103,0.00604266625312494,2.33664957910494,0.250970767894299,0.0110264649709821,0.151590474392256,0.0776673697805565,0.149159100649036,0.359585822312871
"selenium.mug","Selenium","Madagascar","Antanambe_14",2015,48.5,13.5,8,0.5,0,"fringing","fore reef",9,"restriction",0.307747128723878,2.13369116576022,0.000619296462665888,3.35989816756043,0.288536651179885,0.16830655882459,0.172738461488863,0.119705723684453,0.164544549471492,0.086168055350717
"selenium.mug","Selenium","Madagascar","Antanambe_15",2015,45.5,0,44.5,0,0.5,"fringing","fore reef",4,"no-take",0.307747128723878,0,0,3.72533462028454,0.20127680580745,0.0654623768741582,0.11674804181332,0.0238063202809577,0.561849480228304,0.0308569749958092
"selenium.mug","Selenium","Madagascar","Antsa_09",2016,6,68.5,0.5,15.5,0,"barrier","fore reef",10,"open-access",0.930600641260254,1.18159785633588,0.00440478471223472,3.19597352183097,0.0981748340952853,0.0414797314242708,0.334084708737478,0.194903723581079,0.00734033842215708,0.32401666373973
"selenium.mug","Selenium","Madagascar","Antsi_20",2015,60,3,21.5,0,0,"fringing","fore reef",8,"no-take",0.189002124866062,3.3077400657316,0.0213410688096841,4.03827728993596,0.315077760894015,0.0238280013017511,0.0420033623626715,0.0414504483658644,0.244155760213459,0.333484666862239
"selenium.mug","Selenium","Madagascar","Antsoa_07",2016,55,0.166666666666666,13.8333333333333,9.33333333333335,5.83333333333335,"fringing","fore reef",5.6,"no-take",0.119714362489963,1.2672329713443,0.00473740915839478,2.56842118686096,0.13979536558352,0.0173478846929435,0.0140627721494106,0.0316531286767913,0.0826911861233869,0.714449662773947
