,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,varname,fg
"β0_cnc[2,3]",-0.042,1.019,-2.089,1.872,0.015,0.024,4656.0,1954.0,1.0,Solomon Islands,piscivore
"β0_cnc[2,4]",0.096,1.005,-1.846,2.036,0.013,0.021,5890.0,1832.0,1.0,Solomon Islands,planktivore
"β0_cnc[2,5]",0.006,0.982,-1.992,1.902,0.014,0.02,5207.0,2169.0,1.0,Solomon Islands,omnivore
"β0_c[0,0]",0.353,0.997,-1.582,2.273,0.044,0.031,509.0,1130.0,1.0,Fiji,herbivore-detritivore
"β0_c[0,1]",-1.045,1.013,-3.152,0.812,0.044,0.031,523.0,1088.0,1.0,Fiji,herbivore-macroalgae
"β0_c[0,2]",0.995,1.005,-1.027,2.851,0.041,0.029,597.0,1240.0,1.0,Fiji,invertivore-mobile
"β0_c[0,3]",0.486,0.993,-1.405,2.452,0.035,0.024,827.0,1456.0,1.01,Fiji,piscivore
"β0_c[0,4]",0.426,1.03,-1.753,2.302,0.05,0.035,427.0,796.0,1.0,Fiji,planktivore
"β0_c[0,5]",-0.581,0.996,-2.437,1.398,0.039,0.028,645.0,1381.0,1.0,Fiji,omnivore
"β0_c[1,0]",0.109,0.923,-1.69,1.897,0.043,0.031,451.0,1045.0,1.0,Madagascar,herbivore-detritivore
"β0_c[1,1]",-0.929,0.966,-2.828,0.914,0.043,0.03,510.0,954.0,1.0,Madagascar,herbivore-macroalgae
"β0_c[1,2]",0.74,0.967,-1.172,2.627,0.043,0.03,507.0,1266.0,1.0,Madagascar,invertivore-mobile
